year,month,lat,lon,rainfall_mm,seismic_richter,river_level_m,soil_moisture_pct,sat_cloud_pct,disaster_type,event
1990,1,40.12,-82.50,23.1,2.1,0.9,12.2,35,flood,0
1991,6,40.12,-82.50,110.3,2.3,2.8,42.0,78,flood,1
1992,9,40.12,-82.50,60.2,2.0,1.6,25.0,60,cyclone,0
1993,7,40.12,-82.50,150.0,2.2,3.5,55.0,85,flood,1
1994,2,40.12,-82.50,18.5,2.0,0.8,10.0,30,drought,0
1995,8,40.12,-82.50,95.0,2.4,2.5,40.0,70,cyclone,1
1996,5,40.12,-82.50,40.0,2.0,1.2,18.0,40,landslide,0
1997,6,40.12,-82.50,120.0,2.5,3.0,48.0,82,flood,1
1998,9,40.12,-82.50,80.0,2.3,1.9,28.0,65,cyclone,0
1999,7,40.12,-82.50,160.0,2.6,3.8,58.0,88,flood,1
2000,3,13.08,77.59,12.0,3.1,0.5,9.0,22,earthquake,0
2001,9,13.08,77.59,320.0,3.3,4.1,62.0,90,flood,1
2002,10,13.08,77.59,210.0,4.2,3.9,45.0,80,landslide,1
2003,5,13.08,77.59,55.0,2.9,1.1,20.0,35,drought,0
2004,12,13.08,77.59,15.0,5.6,0.7,12.0,28,earthquake,1
2005,6,19.07,72.88,300.0,2.7,4.5,70.0,95,flood,1
2006,1,19.07,72.88,10.0,2.1,0.6,15.0,30,drought,0
2007,9,19.07,72.88,210.0,3.0,3.7,52.0,82,cyclone,1
2008,11,19.07,72.88,130.0,2.4,2.2,30.0,60,landslide,0
2009,7,19.07,72.88,280.0,2.6,3.9,61.0,92,flood,1
2010,2,35.68,139.69,25.0,6.8,0.7,11.0,25,earthquake,1
2011,9,35.68,139.69,350.0,2.9,4.2,66.0,93,cyclone,1
2012,8,35.68,139.69,180.0,3.1,2.5,40.0,70,flood,0
2013,7,35.68,139.69,260.0,3.0,3.3,55.0,88,flood,1
2014,4,35.68,139.69,45.0,2.5,1.0,20.0,40,drought,0
